Name,rating,time_min
Made in China,6.1,128
An International Local Story,7.5,123
Kingdom,6.9,134
Prathi Poovankozhi,9,102
Rakshasudu,8.4,122
The Painted Bird,7.3,169
Pattabhiraman,7.3,139
Gumnaami,7.9,142
Love on the Menu,6.9,120
Journey to China: The Mystery of Iron Mask,4.6,120
Mr. Local,3.1,155
Eftyhia,8.2,123
The Least of These: The Graham Staines Story,6.3,112
4 Roses,8.1,100
"Someone, Somewhere",6.9,110
The Reliant,4,140
100,6.6,141
Color Out of Space,6.4,111
The Champion,6.6,105
Bell Bottom,8.7,130
Spider in the Web,4.4,113
No Manches Frida 2,3.9,102
Kodathi Samaksham Balan Vakeel,5.9,155
Blank,6.1,107
Dokyala Shot,8.9,122
The Black Godfather,7.5,118
Non ci resta che il crimine,6,102
The Rising Hawk,7.7,135
Mystify: Michael Hutchence,7.4,102
QT8: The First Eight,7.3,103
Give Me Liberty,7,110
The Captain,6,111
Thamaasha,7.9,120
Dev,4.8,157
Pagalpanti,2.9,149
Promare,7.3,111
Helen,7.8,117
Eye for an Eye,6.9,107
Depraved,5,114
Die Goldfische,6.6,111
The Humorist,6.6,100
Teacher,7.1,100
Oh Mercy!,6.2,119
Hoaxed,7.3,125
Code Geass: Lelouch of the Re;Surrection,7.6,112
One Day: Justice Delivered,6.5,124
The Blonde One,7.9,108
Kirket,9.7,132
Mr. Majnu,6,145
Mudda 370 J&K,9.5,132
The Story of Us,6.4,120
Natpe Thunai,6.5,154
Pal Pal Dil Ke Paas,4.6,154
Fate/stay night [Heaven's Feel] II. lost butterfly,7.8,117
Billion,2.9,101
Holiday for Heroes,7.1,120
Raatchasi,7.3,134
Dilan 1991,6.7,121
Philophobia,8.2,125
Ask Dr. Ruth,7.6,100
Ulta,9.6,123
Gaddalakonda Ganesh,6.9,130
Chal Mera Putt,7.6,124
Crossword Mysteries: A Puzzle to Die For,6.8,120
Don't Stop Me Now,6,100
Leaving Afghanistan,5.6,113
The Gambinos,8.9,122
Groupers,5.1,109
Como Caído Del Cielo,6.3,112
Armstrong,6.9,100
Brother's Day,4.5,165
"Hello, Love, Goodbye",7.6,118
Uriyadi 2,7.3,119
Pengalila,8.8,111
Hawaa,8,110
Clemency,6.5,113
Kurulus: Osman,7.7,120
Two Blue Stripes,8.1,113
The Dude in Me,6.7,122
Lahon W Habs,4.2,100
Porinju Mariyam Jose,7,148
Kurier,5.6,114
Fraud Saiyaan,4.3,109
Shadaa,6.5,128
2 Fingers Honey,2.4,101
Patham Classile Pranayam,9.5,121
Masquerade Hotel,6.3,133
Love Under the Rainbow,6.6,120
The Conquest of Siberia,5.6,108
"Sense, Sensibility & Snowmen",6.6,120
Aurora,6.9,106
Dogs Don't Wear Pants,7.3,105
Afili Ask,6.5,120
Malaal,5.7,153
Kathy Griffin: A Hell of a Story,5.5,106
Hareket Sekiz,7.7,110
Ruby Herring Mysteries: Silent Witness,6.3,120
Lakshmi's NTR,7.1,152
Mallesham,8.5,131
Judy & Punch,6.3,105
Kee,5.1,138
Curiosa,5.4,107
Hitsville: The Making of Motown,8,112
Roger Waters - Us + Them,8,135
Airaa,4.6,142
Let's Dance,5.8,109
Tremors,7,107
Parineeta,7.4,115
Papicha,7.2,106
Gone Kesh,6.8,110
Serengeti,7.6,146
63 Up,8.2,180
118,6.7,120
Women of Mafia 2,4,138
La dea fortuna,6.9,114
Ottam,7.7,120
Peel,6.1,101
Children of the Sea,6.6,110
Dhilluku Dhuddu 2,5.3,119
Chop Chop Chang: Operation C.H.I.M.P,8.1,101
Upstarts,6.7,112
Kanpuriye,6.3,103
Ganagandharvan,6.8,140
Vaarthakal Ithuvare,9.7,121
Chasing the Moon,8.6,360
Kholop,6.9,109
Her Yerde Sen,6.5,120
Miles Davis: Birth of the Cool,7.3,115
This is Not Berlin,6.8,115
The Chronicle Mysteries: Recovered,7.1,120
Jhalki,8.4,104
School Life,6.8,111
Vantha Rajavathaan Varuven,3.8,154
Blood Will Tell,6,113
Beers of Joy,8.4,118
Iron Fists and Kung Fu Kicks,6.7,107
La lutte des classes,6,103
Off Course to China,4.9,104
Unbroken,9,110
Radioflash,4.5,103
La boda de mi mejor amigo,3.9,109
Falaknuma Das,6.3,145
The Personal History of David Copperfield,5.6,119
Holiday Hearts,6.6,120
A Brother's Love,7,117
Black Widow,6.9,116
Diablo. The race for everything,4.3,106
Marshal,7.8,143
WrestleMania 35,7,324
Parey Hut Love,6.9,139
Tony,8.6,124
Shah Jahan Regency,6.4,156
Andy Murray: Resurfacing,8.2,108
Nina Wu,6.5,102
Foxtrot Six,7,114
1964: O Brasil Entre Armas e Livros,7,127
Proxima,6.9,107
A Dose of Happiness,8.5,100
Mystery 101: Playing Dead,7.1,120
Chaal Jeevi Laiye,8.5,137
Boi,4.8,110
90 ml,3.4,120
The Domain,6.9,166
